tweet_id,retweet_count,favorite_count
892420643555336193,7009,33815
892177421306343426,5302,29320
891815181378084864,3481,22050
891689557279858688,7219,36903
891327558926688256,7762,35311
891087950875897856,2602,17815
890971913173991426,1664,10367
890729181411237888,15756,56878
890609185150312448,3622,24528
890240255349198849,6101,27964
890006608113172480,6154,27041
889880896479866881,4167,24564
889665388333682689,8354,42064
889638837579907072,3717,23658
889531135344209921,1882,13339
889278841981685760,4445,22090
888917238123831296,3765,25617
888804989199671297,3537,22479
888554962724278272,2879,17315
888554962724278272,2879,17315
888078434458587136,2893,19152
887705289381826560,4534,26634
887517139158093824,9856,40694
887473957103951883,15029,60155
887343217045368832,8816,29597
887101392804085760,4991,26991
886983233522544640,6321,30391
886736880519319552,2632,10499
886680336477933568,3736,19738
886366144734445568,2630,18543
886267009285017600,4,105
886258384151887873,5291,24530
886054160059072513,93,0
885984800019947520,5615,28598
885528943205470208,5328,31597
885518971528720385,3108,18008
885311592912609280,15442,0
885167619883638784,3670,19259
884925521741709313,15028,67301
884876753390489601,4673,24365
884562892145688576,3912,21334
884441805382717440,4793,23861
884247878851493888,16926,63331
884162670584377345,2505,17936
883838122936631299,2863,19180
883482846933004288,8273,40221
883360690899218434,3081,19953
883117836046086144,5533,32525
882992080364220416,3248,20972
882762694511734784,4097,24801
882627270321602560,5063,24584
882268110199369728,9634,39194
882045870035918850,4083,25714
881906580714921986,2856,21437
881666595344535552,8960,44550
881633300179243008,8,113
881536004380872706,13404,43458
881268444196462592,4494,20487
880935762899988482,2333,15055
880872448815771648,3200,18701
880465832366813184,5215,25035
880221127280381952,3468,23676
880095782870896641,3653,24346
879862464715927552,2929,19701
879674319642796034,9,281
879492040517615616,2628,20716
879415818425184262,37460,92899
879376492567855104,2650,14847
879130579576475649,5742,0
879050749262655488,3957,19815
879008229531029506,2244,16788
878776093423087618,3434,17121
878604707211726852,5930,26434
878404777348136964,1076,0
878316110768087041,5529,0
878281511006478336,1076,6779
878057613040115712,5742,37155
877736472329191424,15810,69206
877611172832227328,70,0
877556246731214848,3169,19898
877316821321428993,4348,24143
877201837425926144,4630,23849
876838120628539392,2804,18217
876537666061221889,3974,21028
876484053909872640,2001,16569
876120275196170240,3904,24689
875747767867523072,3580,22103
875144289856114688,4158,19410
875097192612077568,5118,24239
875021211251597312,3974,22552
874680097055178752,3919,24580
874434818259525634,12217,0
874296783580663808,3483,22961
874057562936811520,3378,20113
874012996292530176,8595,30126
874012996292530176,8595,30126
873580283840344065,3344,21371
873337748698140672,1331,0
873213775632977920,1331,6319
872967104147763200,4563,24085
872820683541237760,3167,13061
872820683541237760,3167,13061
872620804844003328,3068,18310
872486979161796608,7721,36108
872486979161796608,7721,36108
872122724285648897,6831,30220
871879754684805121,9248,33118
871762521631449091,2970,17882
871515927908634625,2941,17896
871166179821445120,4895,0
871102520638267392,4685,18543
871032628920680449,3226,20165
870804317367881728,5284,29812
870726314365509632,3,105
870656317836468226,2208,10892
870374049280663552,22755,73954
870308999962521604,3550,19486
870063196459192321,7076,32435
870063196459192321,7076,32435
869772420881756160,8698,38035
869702957897576449,5387,25069
869596645499047938,2640,14209
869227993411051520,3201,18143
868880397819494401,12268,57948
868639477480148993,1754,0
868622495443632128,4474,23635
868552278524837888,1754,8966
867900495410671616,3573,21599
867774946302451713,6258,30248
867421006826221569,2118,14351
867072653475098625,101,0
867051520902168576,6790,28714
867051520902168576,6790,28714
866720684873056260,4133,17879
866686824827068416,2973,17140
866450705531457537,30215,108936
866334964761202691,12217,46619
866094527597207552,7172,0
865718153858494464,4852,22928
865359393868664832,4292,23625
865006731092295680,6675,25053
864873206498414592,7499,28871
864279568663928832,2585,13078
864197398364647424,7592,26655
863907417377173506,3594,18433
863553081350529029,3635,13688
863471782782697472,2092,0
863432100342583297,4558,21313
863427515083354112,80,1961
863079547188785154,953,7903
863062471531167744,2092,7527
862831371563274240,4461,17222
862722525377298433,3091,15345
862457590147678208,4256,18293
862096992088072192,20015,66238
862096992088072192,20015,66238
861383897657036800,9272,32315
861288531465048066,3591,15349
861005113778896900,3340,14994
860981674716409858,1858,0
860924035999428608,679,0
860563773140209665,1858,6728
860524505164394496,4607,21248
860276583193509888,3074,16592
860184849394610176,5129,15026
860177593139703809,26770,0
859924526012018688,3586,17652
859851578198683649,3072,13980
859607811541651456,1366,16845
859196978902773760,26292,80452
859074603037188101,11979,30458
858860390427611136,7086,0
858843525470990336,3028,14133
858471635011153920,4266,19502
858107933456039936,2540,14250
857989990357356544,2268,14498
857746408056729600,9356,30816
857393404942143489,1444,5313
857263160327368704,3985,18256
857214891891077121,16,204
857062103051644929,148,0
857029823797047296,3493,17057
857029823797047296,3493,17057
856543823941562368,2551,14842
856526610513747968,1654,10837
856526610513747968,1654,10837
856288084350160898,15,486
856282028240666624,5586,25261
855862651834028034,21,303
855860136149123072,853,4412
855857698524602368,1862,10866
855851453814013952,16141,41928
855818117272018944,4818,24292
855459453768019968,7313,27125
855245323840757760,5272,0
855138241867124737,36,0
854732716440526848,5361,20711
854482394044301312,6032,26611
854365224396361728,4156,17219
854120357044912130,6602,29256
854010172552949760,2796,14842
853760880890318849,5118,26111
853639147608842240,8888,31567
853299958564483072,3173,14185
852936405516943360,1790,0
852912242202992640,1602,8263
852672615818899456,1915,13660
852553447878664193,3124,14914
852311364735569921,8890,30394
852226086759018497,6102,18350
852189679701164033,1420,10583
852189679701164033,1420,10583
852189679701164033,1420,10583
851591660324737024,3128,14970
851464819735769094,6322,22291
851224888060895234,5177,19067
850753642995093505,8093,28186
850380195714523136,2334,12088
850333567704068097,301,3190
850145622816686080,3402,15053
850019790995546112,4380,18796
849776966551130114,6830,27948
849668094696017920,4454,0
849412302885593088,2836,14685
849336543269576704,1695,10570
849051919805034497,7641,39036
848690551926992896,3932,23286
848324959059550208,4165,22864
848213670039564288,646,7545
848212111729840128,2722,15058
847978865427394560,2929,0
847971574464610304,396,0
847962785489326080,4586,21753
847842811428974592,1193,5020
847617282490613760,376,6474
847606175596138505,3096,17372
847251039262605312,3925,18992
847157206088847362,5264,18398
847116187444137987,2881,19892
846874817362120707,3556,18643
846514051647705089,10406,41234
846505985330044928,2766,13087
846153765933735936,8189,29126
846139713627017216,9179,28857
846042936437604353,2595,14838
845812042753855489,7885,27074
845677943972139009,4388,23477
845677943972139009,4388,23477
845397057150107648,1622,7096
845306882940190720,4869,21652
845098359547420673,6953,0
844979544864018432,2318,12697
844973813909606400,2860,13953
844973813909606400,2860,13953
844580511645339650,2822,15312
844223788422217728,1994,12724
843981021012017153,2702,14149
843856843873095681,4176,19987
843604394117681152,2485,15723
843235543001513987,5429,20007
843235543001513987,5429,20007
842846295480000512,3319,14242
842765311967449089,1177,6298
842535590457499648,3190,16947
842163532590374912,5272,22778
842115215311396866,2764,13056
841833993020538882,13606,0
841680585030541313,7173,24058
841439858740625411,3338,11756
841320156043304961,5028,18445
841314665196081154,4245,14766
841077006473256960,4895,21365
840761248237133825,1622,0
840728873075638272,14623,0
840698636975636481,2,165
840696689258311684,892,11492
840632337062862849,1622,8436
840370681858686976,4188,15365
840268004936019968,5233,17932
839990271299457024,2072,12558
839549326359670784,7086,25619
839290600511926273,133,0
839239871831150596,5956,25272
838952994649550848,3668,18405
838921590096166913,1859,10436
838916489579200512,31,0
838831947270979586,10058,0
838561493054533637,1234,10264
838476387338051585,4354,21012
838201503651401729,9222,0
838150277551247360,304,1569
838085839343206401,1,133
838083903487373313,2850,16494
837820167694528512,7172,31894
837482249356513284,409,3614
837471256429613056,2065,12004
837471256429613056,2065,12004
837110210464448512,2186,15086
837110210464448512,2186,15086
836989968035819520,2121,11969
836753516572119041,4271,18165
836677758902222849,2028,11866
836648853927522308,508,0
836397794269200385,25141,0
836380477523124226,2749,13921
836260088725786625,3988,19973
836001077879255040,3904,17912
835685285446955009,7435,0
835574547218894849,3307,16688
835536468978302976,1547,0
835309094223372289,19211,0
835297930240217089,2748,15460
835264098648616962,1547,7249
835246439529840640,63,1992
